node_id,load,cpu_mean,cpu_p95,cpu_std,volatility_score,queue_mean,queue_p95,eff_blocks_mean,exec_max_p95,miss_p95,ctrl_latency_p95_ms,telemetry_latency_p95_ms,warning
node-717AC4,100,2.11,5,2.38,2.38,0,0,0.89,1,0,0,146,ok
node-717AC4,200,14.89,15,0.74,0.74,0,0,4,2,0,0,104,ok
node-717AC4,300,29.22,30,1.87,1.87,0,0,7,4,0,0,122,ok
node-717AC4,400,39.22,43,4.13,4.13,0,0,9,5,0,0,85,ok
node-717AC4,500,55.22,58,2.82,2.82,0,0,12,6,0,0,116,ok
node-717AC4,600,61.56,65,4.57,4.57,0,0,14,7,0,0,93,ok
node-717AC4,700,70.75,77,6.94,6.94,0,0,16,8,0,0,118,ok
node-717AC4,800,79.44,84,7.5,7.5,0,0,19,10,0,0,156,ok
node-717AC4,900,32.5,83,34.98,34.98,0,0,21,11,20,0,113,miss
node-717AC4,1000,25,52,27.45,27.45,0,0,24,13,20,0,131,miss
