node_id,load,cpu_mean,cpu_p95,cpu_std,volatility_score,queue_mean,queue_p95,eff_blocks_mean,exec_max_p95,miss_p95,ctrl_latency_p95_ms,telemetry_latency_p95_ms,warning
node-717AC4,100,5.45,6,0.59,0.59,0,0,2,1,0,0,174,ok
node-717AC4,200,15.5,16,0.99,0.99,0,0,4,2,0,0,168,ok
node-717AC4,300,29.8,33,2.66,2.66,0.1,1,7,4,0,0,116,queue
node-717AC4,400,40.2,44,3.91,3.91,0,0,9,5,0,0,195,ok
node-717AC4,500,52.5,59,5.2,5.2,0,0,12,6,0,0,182,ok
node-717AC4,600,62.25,70,6.75,6.75,0.3,1,14,7,0,0,185,queue
node-717AC4,700,71.25,81,8.0,8.0,0,0,16,8,0,0,184,ok
node-717AC4,800,82.35,96,6.85,6.85,0.35,1,19,10,0,0,947,queue|cpu_saturation
node-717AC4,900,49.4,97,36.22,36.22,0.2,1,21,12,20,0,189,miss|queue|cpu_saturation
node-717AC4,1000,40.8,99,35.43,35.43,0,0,24,13,20,0,184,miss|cpu_saturation
