node_id,load,cpu_mean,cpu_p95,cpu_std,volatility_score,queue_mean,queue_p95,eff_blocks_mean,exec_max_p95,miss_p95,ctrl_latency_p95_ms,telemetry_latency_p95_ms,warning
node-717AC4,100,4.88,5,0.6,0.6,0,0,2,1,0,0,155,ok
node-717AC4,200,14.5,16,1.32,1.32,0,0,4,2,0,0,130,ok
node-717AC4,300,29.67,32,1.63,1.63,0,0,7,4,0,0,117,ok
node-717AC4,400,38.5,40,2.45,2.45,0,0,9,5,0,0,82,ok
node-717AC4,500,53.56,59,5.91,5.91,0,0,12,6,0,0,111,ok
node-717AC4,600,64.22,68,4.21,4.21,0,0,14,7,0,0,94,ok
node-717AC4,700,70.38,74,4.33,4.33,0,0,16,9,0,0,91,ok
node-717AC4,800,82.12,92,10.64,10.64,0,0,19,10,0,0,125,cpu_saturation
node-717AC4,900,56.88,88,27.0,27.0,0,0,21,12,20,0,140,miss
node-717AC4,1000,20.22,41,20.04,20.04,0.78,1,24,13,20,0,149,miss|queue
